SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612752,NYK,New York Knicks,0022400773,2025-02-12,NYK vs. ATL,W,264,149,54,94,0.574,11,26,0.423,30,37,0.811,8,31,39,28,6,5,17,23,1.0
22024,1610612752,NYK,New York Knicks,0022400765,2025-02-11,NYK @ IND,W,241,128,49,91,0.538,10,27,0.37,20,23,0.87,13,35,48,37,6,2,14,22,13.0
22024,1610612752,NYK,New York Knicks,0022400748,2025-02-08,NYK vs. BOS,L,239,104,35,83,0.422,9,24,0.375,25,29,0.862,7,23,30,16,9,1,9,15,-27.0
22024,1610612752,NYK,New York Knicks,0022400713,2025-02-04,NYK @ TOR,W,240,121,47,94,0.5,8,25,0.32,19,23,0.826,17,26,43,26,10,4,11,15,6.0
22024,1610612752,NYK,New York Knicks,0022400702,2025-02-03,NYK vs. HOU,W,239,124,47,93,0.505,6,26,0.231,24,30,0.8,12,28,40,24,9,5,11,15,6.0
22024,1610612752,NYK,New York Knicks,0022400692,2025-02-01,NYK vs. LAL,L,240,112,44,95,0.463,10,28,0.357,14,19,0.737,16,28,44,33,7,3,14,16,-16.0
22024,1610612752,NYK,New York Knicks,0022400668,2025-01-29,NYK vs. DEN,W,241,122,48,93,0.516,14,34,0.412,12,18,0.667,6,29,35,33,7,2,5,16,10.0
22024,1610612752,NYK,New York Knicks,0022400653,2025-01-27,NYK vs. MEM,W,241,143,56,108,0.519,17,44,0.386,14,18,0.778,17,29,46,32,20,7,10,16,37.0
22024,1610612752,NYK,New York Knicks,0022400641,2025-01-25,NYK vs. SAC,W,241,143,52,105,0.495,17,36,0.472,22,23,0.957,17,36,53,40,9,4,11,13,23.0
22024,1610612752,NYK,New York Knicks,0022400606,2025-01-21,NYK @ BKN,W,239,99,40,87,0.46,8,28,0.286,11,14,0.786,9,33,42,29,11,3,10,20,4.0
22024,1610612752,NYK,New York Knicks,0022400602,2025-01-20,NYK vs. ATL,W,240,119,47,90,0.522,9,26,0.346,16,21,0.762,12,27,39,31,8,1,15,21,9.0
22024,1610612752,NYK,New York Knicks,0022400578,2025-01-17,NYK vs. MIN,L,241,99,35,90,0.389,14,34,0.412,15,17,0.882,15,26,41,19,10,4,9,13,-17.0
22024,1610612752,NYK,New York Knicks,0022400561,2025-01-15,NYK @ PHI,W,264,125,46,86,0.535,16,37,0.432,17,24,0.708,15,30,45,28,10,3,13,14,6.0
22024,1610612752,NYK,New York Knicks,0022400549,2025-01-13,NYK vs. DET,L,241,119,40,80,0.5,15,37,0.405,24,29,0.828,10,32,42,26,5,2,17,21,-5.0
