id_equipo,equipo,id_partido,fecha,enfrentamiento,resultado,puntos,tiros_campo_convertidos,tiros_campo_intentados,porcentaje_tiros_campo,triples_convertidos,triples_intentados,porcentaje_triples,libres_convertidos,libres_intentados,porcentaje_libres,asistencias,rebotes,perdidas,mas_menos
1610612744,Golden State Warriors,21500634,2016-01-20,GSW @ CHI,W,125,50,95,0.526,12,32,0.375,13,20,0.65,38,55,10.0,31.0
1610612744,Golden State Warriors,21500652,2016-01-22,GSW vs. IND,W,122,43,90,0.478,14,33,0.424,22,25,0.88,31,50,17.0,12.0
1610612744,Golden State Warriors,21500675,2016-01-25,GSW vs. SAS,W,120,44,85,0.518,11,26,0.423,21,25,0.84,31,45,21.0,30.0
1610612744,Golden State Warriors,21500691,2016-01-27,GSW vs. DAL,W,127,47,81,0.58,14,29,0.483,19,21,0.905,33,40,9.0,20.0
1610612744,Golden State Warriors,21500707,2016-01-30,GSW @ PHI,W,108,47,95,0.495,13,30,0.433,1,2,0.5,37,57,23.0,3.0
1610612744,Golden State Warriors,21500718,2016-01-31,GSW @ NYK,W,116,42,73,0.575,16,29,0.552,16,23,0.696,31,44,18.0,21.0
1610612744,Golden State Warriors,21500739,2016-02-03,GSW @ WAS,W,134,49,93,0.527,20,41,0.488,16,29,0.552,35,49,18.0,13.0
1610612744,Golden State Warriors,21500769,2016-02-06,GSW vs. OKC,W,116,48,97,0.495,7,26,0.269,13,20,0.65,24,46,10.0,8.0
1610612744,Golden State Warriors,21500788,2016-02-09,GSW vs. HOU,W,123,44,94,0.468,12,34,0.353,23,26,0.885,28,49,12.0,13.0
1610612744,Golden State Warriors,21500799,2016-02-10,GSW @ PHX,W,112,37,89,0.416,14,40,0.35,24,29,0.828,24,50,13.0,8.0
1610612744,Golden State Warriors,21500815,2016-02-19,GSW @ POR,L,105,36,92,0.391,12,34,0.353,21,28,0.75,25,47,20.0,-32.0
1610612744,Golden State Warriors,21500822,2016-02-20,GSW @ LAC,W,115,42,82,0.512,11,31,0.355,20,26,0.769,32,39,14.0,3.0
1610612744,Golden State Warriors,21500836,2016-02-22,GSW @ ATL,W,102,39,89,0.438,14,45,0.311,10,12,0.833,30,43,13.0,10.0
1610612744,Golden State Warriors,21500848,2016-02-24,GSW @ MIA,W,118,42,90,0.467,13,28,0.464,21,25,0.84,23,43,13.0,6.0
1610612744,Golden State Warriors,21500855,2016-02-25,GSW @ ORL,W,130,53,88,0.602,13,25,0.52,11,16,0.688,35,42,21.0,16.0
1610612744,Golden State Warriors,21500874,2016-02-27,GSW @ OKC,W,121,45,95,0.474,14,32,0.438,17,25,0.68,25,32,11.0,3.0
1610612744,Golden State Warriors,21500895,2016-03-01,GSW vs. ATL,W,109,41,103,0.398,12,36,0.333,15,17,0.882,28,51,13.0,4.0
1610612744,Golden State Warriors,21500911,2016-03-03,GSW vs. OKC,W,121,47,87,0.54,11,34,0.324,16,21,0.762,33,40,9.0,15.0
1610612744,Golden State Warriors,21500931,2016-03-06,GSW @ LAL,L,95,37,92,0.402,4,30,0.133,17,21,0.81,32,49,20.0,-17.0
1610612744,Golden State Warriors,21500943,2016-03-07,GSW vs. ORL,W,119,42,84,0.5,16,35,0.457,19,27,0.704,27,50,24.0,6.0
1610612744,Golden State Warriors,21500958,2016-03-09,GSW vs. UTA,W,115,48,84,0.571,13,30,0.433,6,10,0.6,36,39,15.0,21.0
1610612744,Golden State Warriors,21500971,2016-03-11,GSW vs. POR,W,128,40,89,0.449,18,40,0.45,30,39,0.769,23,56,8.0,16.0
1610612744,Golden State Warriors,21500981,2016-03-12,GSW vs. PHX,W,123,42,84,0.5,11,33,0.333,28,33,0.848,28,42,8.0,7.0
1610612744,Golden State Warriors,21500996,2016-03-14,GSW vs. NOP,W,125,47,81,0.58,12,25,0.48,19,23,0.826,30,46,18.0,18.0
1610612744,Golden State Warriors,21501011,2016-03-16,GSW vs. NYK,W,121,46,91,0.505,18,37,0.486,11,12,0.917,32,54,13.0,36.0
1610612744,Golden State Warriors,21501026,2016-03-18,GSW @ DAL,W,130,48,95,0.505,22,38,0.579,12,14,0.857,35,42,13.0,18.0
1610612744,Golden State Warriors,21501036,2016-03-19,GSW @ SAS,L,79,31,82,0.378,9,36,0.25,8,10,0.8,24,37,11.0,-8.0
1610612744,Golden State Warriors,21501050,2016-03-21,GSW @ MIN,W,109,43,87,0.494,8,24,0.333,15,24,0.625,31,44,17.0,5.0
1610612744,Golden State Warriors,21501066,2016-03-23,GSW vs. LAC,W,114,39,87,0.448,15,34,0.441,21,28,0.75,23,50,12.0,16.0
1610612744,Golden State Warriors,21501080,2016-03-25,GSW vs. DAL,W,128,43,88,0.489,21,45,0.467,21,23,0.913,30,40,7.0,8.0
1610612744,Golden State Warriors,21501094,2016-03-27,GSW vs. PHI,W,117,44,83,0.53,14,33,0.424,15,20,0.75,32,44,18.0,12.0
1610612744,Golden State Warriors,21501112,2016-03-29,GSW vs. WAS,W,102,38,87,0.437,11,25,0.44,15,23,0.652,27,55,16.0,8.0
1610612744,Golden State Warriors,21501119,2016-03-30,GSW @ UTA,W,103,39,89,0.438,12,35,0.343,13,18,0.722,19,46,18.0,7.0
1610612744,Golden State Warriors,21501136,2016-04-01,GSW vs. BOS,L,106,38,83,0.458,20,43,0.465,10,13,0.769,25,41,22.0,-3.0
1610612744,Golden State Warriors,21501152,2016-04-03,GSW vs. POR,W,136,50,88,0.568,18,30,0.6,18,22,0.818,30,43,13.0,25.0
1610612744,Golden State Warriors,21501163,2016-04-05,GSW vs. MIN,L,117,49,98,0.5,12,35,0.343,7,8,0.875,35,46,24.0,-7.0
1610612744,Golden State Warriors,21501177,2016-04-07,GSW vs. SAS,W,112,45,83,0.542,12,25,0.48,10,11,0.909,33,43,16.0,11.0
1610612744,Golden State Warriors,21501190,2016-04-09,GSW @ MEM,W,100,39,87,0.448,10,36,0.278,12,13,0.923,20,48,11.0,1.0
1610612744,Golden State Warriors,21501201,2016-04-10,GSW @ SAS,W,92,34,77,0.442,10,27,0.37,14,18,0.778,19,46,13.0,6.0
1610612744,Golden State Warriors,21501227,2016-04-13,GSW vs. MEM,W,125,46,87,0.529,20,47,0.426,13,16,0.813,35,51,17.0,21.0
1610612744,Golden State Warriors,21600003,2016-10-25,GSW vs. SAS,L,100,40,85,0.471,7,33,0.212,13,18,0.722,24,35,16.0,-29.0
1610612744,Golden State Warriors,21600025,2016-10-28,GSW @ NOP,W,122,44,91,0.484,9,28,0.321,25,28,0.893,32,49,14.0,8.0
1610612744,Golden State Warriors,21600036,2016-10-30,GSW @ PHX,W,106,35,83,0.422,8,29,0.276,28,33,0.848,27,43,16.0,6.0
1610612744,Golden State Warriors,21600054,2016-11-01,GSW @ POR,W,127,50,89,0.562,10,26,0.385,17,23,0.739,36,45,16.0,23.0
1610612744,Golden State Warriors,21600069,2016-11-03,GSW vs. OKC,W,122,46,89,0.517,14,30,0.467,16,20,0.8,27,46,16.0,26.0
1610612744,Golden State Warriors,21600078,2016-11-04,GSW @ LAL,L,97,39,86,0.453,5,32,0.156,14,20,0.7,26,40,20.0,-20.0
1610612744,Golden State Warriors,21600099,2016-11-07,GSW vs. NOP,W,116,45,90,0.5,16,35,0.457,10,12,0.833,35,38,15.0,10.0
1610612744,Golden State Warriors,21600116,2016-11-09,GSW vs. DAL,W,116,43,74,0.581,17,33,0.515,13,22,0.591,33,39,15.0,21.0
1610612744,Golden State Warriors,21600119,2016-11-10,GSW @ DEN,W,125,46,85,0.541,14,30,0.467,19,20,0.95,33,44,15.0,24.0
1610612744,Golden State Warriors,21600143,2016-11-13,GSW vs. PHX,W,133,45,87,0.517,16,33,0.485,27,31,0.871,32,43,16.0,13.0
1610612744,Golden State Warriors,21600165,2016-11-16,GSW @ TOR,W,127,44,87,0.506,13,36,0.361,26,28,0.929,33,35,12.0,6.0
1610612744,Golden State Warriors,21600179,2016-11-18,GSW @ BOS,W,104,44,90,0.489,9,28,0.321,7,12,0.583,33,50,11.0,16.0
1610612744,Golden State Warriors,21600191,2016-11-19,GSW @ MIL,W,124,42,95,0.442,14,38,0.368,26,32,0.813,30,45,12.0,3.0
1610612744,Golden State Warriors,21600202,2016-11-21,GSW @ IND,W,120,40,90,0.444,13,36,0.361,27,32,0.844,31,60,12.0,37.0
1610612744,Golden State Warriors,21600223,2016-11-23,GSW vs. LAL,W,149,53,86,0.616,19,36,0.528,24,35,0.686,47,48,10.0,43.0
1610612744,Golden State Warriors,21600238,2016-11-25,GSW @ LAL,W,109,43,83,0.518,11,28,0.393,12,17,0.706,31,44,18.0,24.0
