minute_bin,GAME_ID,pts_scored,pts_received
30,42400134,0,3
31,42400134,2,3
32,42400134,6,1
33,42400134,3,4
34,42400134,5,5
35,42400134,2,3
36,42400134,1,5
37,42400134,2,5
38,42400134,2,2
39,42400134,2,2
40,42400134,3,0
41,42400134,0,2
42,42400134,3,3
43,42400134,2,5
44,42400134,2,2
45,42400134,3,0
46,42400134,0,2
47,42400134,0,3
48,42400134,0,2
1,42400135,0,0
2,42400135,3,0
3,42400135,6,0
4,42400135,4,0
5,42400135,0,3
6,42400135,2,0
7,42400135,0,2
8,42400135,5,4
9,42400135,4,0
10,42400135,0,2
11,42400135,2,2
12,42400135,4,0
13,42400135,3,0
14,42400135,0,4
15,42400135,0,2
16,42400135,4,2
17,42400135,3,2
18,42400135,0,2
19,42400135,0,0
20,42400135,2,7
21,42400135,0,3
22,42400135,3,0
23,42400135,2,4
24,42400135,0,2
25,42400135,4,2
26,42400135,0,6
27,42400135,0,3
28,42400135,0,0
29,42400135,2,2
30,42400135,3,5
31,42400135,9,2
32,42400135,4,3
33,42400135,2,3
34,42400135,0,2
35,42400135,2,4
36,42400135,2,2
37,42400135,0,4
38,42400135,5,2
39,42400135,2,4
40,42400135,2,2
41,42400135,5,0
42,42400135,2,0
43,42400135,3,2
44,42400135,0,4
45,42400135,1,2
46,42400135,0,2
47,42400135,6,2
48,42400135,2,4
49,42400135,0,3
50,42400135,3,0
51,42400135,3,0
52,42400135,6,5
53,42400135,3,8
