TEAM_NAME,GAME_DATE,MATCHUP,PTS,FG3M,REB,AST,BLK
Oklahoma City Thunder,2025-06-22T00:00:00,OKC vs. IND,103,11,40,20,8
Indiana Pacers,2025-06-22T00:00:00,IND @ OKC,91,11,45,17,4
Indiana Pacers,2025-06-19T00:00:00,IND vs. OKC,108,15,46,23,5
Oklahoma City Thunder,2025-06-19T00:00:00,OKC @ IND,91,8,41,14,4
Oklahoma City Thunder,2025-06-16T00:00:00,OKC vs. IND,120,14,45,24,12
Indiana Pacers,2025-06-16T00:00:00,IND @ OKC,109,11,50,23,4
Oklahoma City Thunder,2025-06-13T00:00:00,OKC @ IND,111,3,43,11,3
Indiana Pacers,2025-06-13T00:00:00,IND vs. OKC,104,11,33,21,3
Indiana Pacers,2025-06-11T00:00:00,IND vs. OKC,116,9,36,24,11
Oklahoma City Thunder,2025-06-11T00:00:00,OKC @ IND,107,10,42,16,4
Oklahoma City Thunder,2025-06-08T00:00:00,OKC vs. IND,123,14,43,25,4
Indiana Pacers,2025-06-08T00:00:00,IND @ OKC,107,14,35,27,6
Indiana Pacers,2025-06-05T00:00:00,IND @ OKC,111,18,56,24,7
Oklahoma City Thunder,2025-06-05T00:00:00,OKC vs. IND,110,11,39,13,6
Indiana Pacers,2025-05-31T00:00:00,IND vs. NYK,125,17,36,30,9
New York Knicks,2025-05-31T00:00:00,NYK @ IND,108,9,41,23,6
New York Knicks,2025-05-29T00:00:00,NYK vs. IND,111,8,45,22,3
Indiana Pacers,2025-05-29T00:00:00,IND @ NYK,94,10,40,20,7
Oklahoma City Thunder,2025-05-28T00:00:00,OKC vs. MIN,124,14,46,26,8
Minnesota Timberwolves,2025-05-28T00:00:00,MIN @ OKC,94,12,39,16,6
Indiana Pacers,2025-05-27T00:00:00,IND vs. NYK,130,13,33,29,4
New York Knicks,2025-05-27T00:00:00,NYK @ IND,121,12,44,17,4
Oklahoma City Thunder,2025-05-26T00:00:00,OKC @ MIN,128,16,36,22,5
Minnesota Timberwolves,2025-05-26T00:00:00,MIN vs. OKC,126,18,41,30,3
New York Knicks,2025-05-25T00:00:00,NYK @ IND,106,11,37,13,4
Indiana Pacers,2025-05-25T00:00:00,IND vs. NYK,100,5,38,21,4
Minnesota Timberwolves,2025-05-24T00:00:00,MIN vs. OKC,143,20,50,30,3
Oklahoma City Thunder,2025-05-24T00:00:00,OKC @ MIN,101,14,31,19,3
Indiana Pacers,2025-05-23T00:00:00,IND @ NYK,114,13,32,26,3
New York Knicks,2025-05-23T00:00:00,NYK vs. IND,109,11,38,18,4
Oklahoma City Thunder,2025-05-22T00:00:00,OKC vs. MIN,118,9,42,30,3
Minnesota Timberwolves,2025-05-22T00:00:00,MIN @ OKC,103,11,41,20,7
Indiana Pacers,2025-05-21T00:00:00,IND @ NYK,138,15,39,26,3
New York Knicks,2025-05-21T00:00:00,NYK vs. IND,135,11,46,24,8
Oklahoma City Thunder,2025-05-20T00:00:00,OKC vs. MIN,114,11,46,27,3
Minnesota Timberwolves,2025-05-20T00:00:00,MIN @ OKC,88,15,42,18,7
Oklahoma City Thunder,2025-05-18T00:00:00,OKC vs. DEN,125,12,44,28,3
Denver Nuggets,2025-05-18T00:00:00,DEN @ OKC,93,10,47,20,2
New York Knicks,2025-05-16T00:00:00,NYK vs. BOS,119,16,55,25,6
Boston Celtics,2025-05-16T00:00:00,BOS @ NYK,81,12,36,19,3
Denver Nuggets,2025-05-15T00:00:00,DEN vs. OKC,119,12,52,27,6
Oklahoma City Thunder,2025-05-15T00:00:00,OKC @ DEN,107,11,40,25,4
Boston Celtics,2025-05-14T00:00:00,BOS vs. NYK,127,22,44,27,12
Minnesota Timberwolves,2025-05-14T00:00:00,MIN vs. GSW,121,13,39,36,4
Golden State Warriors,2025-05-14T00:00:00,GSW @ MIN,110,11,40,21,1
New York Knicks,2025-05-14T00:00:00,NYK @ BOS,102,12,40,17,4
Indiana Pacers,2025-05-13T00:00:00,IND @ CLE,114,15,47,26,8
Oklahoma City Thunder,2025-05-13T00:00:00,OKC vs. DEN,112,12,43,23,6
Denver Nuggets,2025-05-13T00:00:00,DEN @ OKC,105,13,49,20,3
Cleveland Cavaliers,2025-05-13T00:00:00,CLE vs. IND,105,9,46,10,3
New York Knicks,2025-05-12T00:00:00,NYK vs. BOS,121,12,43,25,2
Minnesota Timberwolves,2025-05-12T00:00:00,MIN @ GSW,117,16,38,22,5
Golden State Warriors,2025-05-12T00:00:00,GSW vs. MIN,110,8,38,18,1
Boston Celtics,2025-05-12T00:00:00,BOS @ NYK,113,18,31,15,2
Indiana Pacers,2025-05-11T00:00:00,IND vs. CLE,129,15,37,37,2
Oklahoma City Thunder,2025-05-11T00:00:00,OKC @ DEN,92,10,55,20,2
Denver Nuggets,2025-05-11T00:00:00,DEN vs. OKC,87,11,49,17,3
Cleveland Cavaliers,2025-05-11T00:00:00,CLE @ IND,109,14,41,20,4
Boston Celtics,2025-05-10T00:00:00,BOS @ NYK,115,20,42,23,8
Minnesota Timberwolves,2025-05-10T00:00:00,MIN @ GSW,102,13,44,28,7
Golden State Warriors,2025-05-10T00:00:00,GSW vs. MIN,97,10,36,21,7
New York Knicks,2025-05-10T00:00:00,NYK vs. BOS,93,5,43,16,2
Cleveland Cavaliers,2025-05-09T00:00:00,CLE @ IND,126,14,56,24,7
Denver Nuggets,2025-05-09T00:00:00,DEN vs. OKC,113,16,49,25,7
Oklahoma City Thunder,2025-05-09T00:00:00,OKC @ DEN,104,9,54,24,6
Indiana Pacers,2025-05-09T00:00:00,IND vs. CLE,104,9,37,26,8
Minnesota Timberwolves,2025-05-08T00:00:00,MIN vs. GSW,117,16,39,33,5
Golden State Warriors,2025-05-08T00:00:00,GSW @ MIN,93,9,42,23,2
Oklahoma City Thunder,2025-05-07T00:00:00,OKC vs. DEN,149,16,44,31,8
New York Knicks,2025-05-07T00:00:00,NYK @ BOS,91,9,46,19,5
Boston Celtics,2025-05-07T00:00:00,BOS vs. NYK,90,10,51,17,5
Denver Nuggets,2025-05-07T00:00:00,DEN @ OKC,106,15,38,18,6
Golden State Warriors,2025-05-06T00:00:00,GSW @ MIN,99,18,51,26,2
Indiana Pacers,2025-05-06T00:00:00,IND @ CLE,120,11,44,28,9
Cleveland Cavaliers,2025-05-06T00:00:00,CLE vs. IND,119,11,43,24,5
Minnesota Timberwolves,2025-05-06T00:00:00,MIN vs. GSW,88,5,41,19,6
New York Knicks,2025-05-05T00:00:00,NYK @ BOS,108,17,49,19,2
Denver Nuggets,2025-05-05T00:00:00,DEN @ OKC,121,10,63,18,5
Oklahoma City Thunder,2025-05-05T00:00:00,OKC vs. DEN,119,15,43,27,11
Boston Celtics,2025-05-05T00:00:00,BOS vs. NYK,105,15,59,18,5
Golden State Warriors,2025-05-04T00:00:00,GSW @ HOU,103,18,38,24,8
Indiana Pacers,2025-05-04T00:00:00,IND @ CLE,121,19,43,30,9
Cleveland Cavaliers,2025-05-04T00:00:00,CLE vs. IND,112,9,43,25,1
Houston Rockets,2025-05-04T00:00:00,HOU vs. GSW,89,6,52,14,5
Denver Nuggets,2025-05-03T00:00:00,DEN vs. LAC,120,11,46,24,4
LA Clippers,2025-05-03T00:00:00,LAC @ DEN,101,8,36,30,9
Houston Rockets,2025-05-02T00:00:00,HOU @ GSW,115,12,46,23,5
Golden State Warriors,2025-05-02T00:00:00,GSW vs. HOU,107,15,42,26,6
LA Clippers,2025-05-01T00:00:00,LAC vs. DEN,111,12,35,23,9
New York Knicks,2025-05-01T00:00:00,NYK @ DET,116,10,43,18,4
Detroit Pistons,2025-05-01T00:00:00,DET vs. NYK,113,9,36,25,3
Denver Nuggets,2025-05-01T00:00:00,DEN @ LAC,105,11,39,24,7
Houston Rockets,2025-04-30T00:00:00,HOU vs. GSW,131,13,39,23,7
Minnesota Timberwolves,2025-04-30T00:00:00,MIN @ LAL,103,7,54,25,5
Los Angeles Lakers,2025-04-30T00:00:00,LAL vs. MIN,96,11,37,24,1
Golden State Warriors,2025-04-30T00:00:00,GSW @ HOU,116,15,49,25,5
Boston Celtics,2025-04-29T00:00:00,BOS vs. ORL,120,13,38,30,3
Denver Nuggets,2025-04-29T00:00:00,DEN vs. LAC,131,17,38,29,7
Detroit Pistons,2025-04-29T00:00:00,DET @ NYK,106,8,45,21,9
Indiana Pacers,2025-04-29T00:00:00,IND vs. MIL,119,12,45,24,4
Milwaukee Bucks,2025-04-29T00:00:00,MIL @ IND,118,19,53,25,4
New York Knicks,2025-04-29T00:00:00,NYK vs. DET,103,9,49,19,10
LA Clippers,2025-04-29T00:00:00,LAC @ DEN,115,11,38,29,8
Orlando Magic,2025-04-29T00:00:00,ORL @ BOS,89,8,44,19,2
Cleveland Cavaliers,2025-04-28T00:00:00,CLE @ MIA,138,22,51,26,6
Golden State Warriors,2025-04-28T00:00:00,GSW vs. HOU,109,17,34,27,2
Houston Rockets,2025-04-28T00:00:00,HOU @ GSW,106,11,41,18,6
Miami Heat,2025-04-28T00:00:00,MIA vs. CLE,83,10,45,17,2
Indiana Pacers,2025-04-27T00:00:00,IND @ MIL,129,18,41,36,7
Boston Celtics,2025-04-27T00:00:00,BOS @ ORL,107,9,46,17,7
Minnesota Timberwolves,2025-04-27T00:00:00,MIN vs. LAL,116,14,49,19,2
New York Knicks,2025-04-27T00:00:00,NYK @ DET,94,15,38,19,3
Detroit Pistons,2025-04-27T00:00:00,DET vs. NYK,93,7,54,18,9
Los Angeles Lakers,2025-04-27T00:00:00,LAL @ MIN,113,19,41,23,7
Orlando Magic,2025-04-27T00:00:00,ORL vs. BOS,98,8,38,23,4
Milwaukee Bucks,2025-04-27T00:00:00,MIL vs. IND,103,15,33,25,1
Cleveland Cavaliers,2025-04-26T00:00:00,CLE @ MIA,124,15,46,32,1
Golden State Warriors,2025-04-26T00:00:00,GSW vs. HOU,104,14,45,26,6
Oklahoma City Thunder,2025-04-26T00:00:00,OKC @ MEM,117,7,33,22,7
Denver Nuggets,2025-04-26T00:00:00,DEN @ LAC,101,10,47,28,4
Memphis Grizzlies,2025-04-26T00:00:00,MEM vs. OKC,115,12,51,24,10
LA Clippers,2025-04-26T00:00:00,LAC vs. DEN,99,10,43,25,5
Houston Rockets,2025-04-26T00:00:00,HOU @ GSW,93,11,51,19,6
Miami Heat,2025-04-26T00:00:00,MIA vs. CLE,87,16,29,18,3
Milwaukee Bucks,2025-04-25T00:00:00,MIL vs. IND,117,15,48,28,4
Minnesota Timberwolves,2025-04-25T00:00:00,MIN vs. LAL,116,13,38,24,5
Orlando Magic,2025-04-25T00:00:00,ORL vs. BOS,95,8,42,16,4
Boston Celtics,2025-04-25T00:00:00,BOS @ ORL,93,9,39,15,5
Los Angeles Lakers,2025-04-25T00:00:00,LAL @ MIN,104,17,38,21,7
Indiana Pacers,2025-04-25T00:00:00,IND @ MIL,101,13,40,32,4
LA Clippers,2025-04-24T00:00:00,LAC vs. DEN,117,18,48,26,8
Oklahoma City Thunder,2025-04-24T00:00:00,OKC @ MEM,114,13,43,24,4
New York Knicks,2025-04-24T00:00:00,NYK @ DET,118,12,40,22,7
Detroit Pistons,2025-04-24T00:00:00,DET vs. NYK,116,16,43,22,4
Memphis Grizzlies,2025-04-24T00:00:00,MEM vs. OKC,108,14,41,23,7
Denver Nuggets,2025-04-24T00:00:00,DEN @ LAC,83,7,38,20,3
Houston Rockets,2025-04-23T00:00:00,HOU vs. GSW,109,15,47,21,4
Cleveland Cavaliers,2025-04-23T00:00:00,CLE vs. MIA,121,22,34,24,1
Boston Celtics,2025-04-23T00:00:00,BOS vs. ORL,109,12,46,17,4
Miami Heat,2025-04-23T00:00:00,MIA @ CLE,112,16,38,27,3
Orlando Magic,2025-04-23T00:00:00,ORL @ BOS,100,7,34,18,4
Golden State Warriors,2025-04-23T00:00:00,GSW @ HOU,94,17,33,22,6
Oklahoma City Thunder,2025-04-22T00:00:00,OKC vs. MEM,118,15,55,21,8
Los Angeles Lakers,2025-04-22T00:00:00,LAL vs. MIN,94,6,41,23,6
Indiana Pacers,2025-04-22T00:00:00,IND vs. MIL,123,16,38,30,3
Milwaukee Bucks,2025-04-22T00:00:00,MIL @ IND,115,14,43,26,6
Minnesota Timberwolves,2025-04-22T00:00:00,MIN @ LAL,85,5,34,14,2
Memphis Grizzlies,2025-04-22T00:00:00,MEM @ OKC,99,10,42,17,5
Detroit Pistons,2025-04-21T00:00:00,DET @ NYK,100,6,48,11,4
LA Clippers,2025-04-21T00:00:00,LAC @ DEN,105,13,32,24,5
Denver Nuggets,2025-04-21T00:00:00,DEN vs. LAC,102,14,50,23,1
New York Knicks,2025-04-21T00:00:00,NYK vs. DET,94,10,34,15,1
Oklahoma City Thunder,2025-04-20T00:00:00,OKC vs. MEM,131,17,54,36,8
Cleveland Cavaliers,2025-04-20T00:00:00,CLE vs. MIA,121,18,42,21,4
Boston Celtics,2025-04-20T00:00:00,BOS vs. ORL,103,16,42,22,5
Golden State Warriors,2025-04-20T00:00:00,GSW @ HOU,95,12,36,20,1
Houston Rockets,2025-04-20T00:00:00,HOU vs. GSW,85,6,52,19,3
Orlando Magic,2025-04-20T00:00:00,ORL @ BOS,86,10,41,17,5
Miami Heat,2025-04-20T00:00:00,MIA @ CLE,100,13,37,23,4
Memphis Grizzlies,2025-04-20T00:00:00,MEM @ OKC,80,6,43,18,4
Minnesota Timberwolves,2025-04-19T00:00:00,MIN @ LAL,117,21,44,29,4
Indiana Pacers,2025-04-19T00:00:00,IND vs. MIL,117,13,43,28,6
New York Knicks,2025-04-19T00:00:00,NYK vs. DET,123,10,36,26,9
Denver Nuggets,2025-04-19T00:00:00,DEN vs. LAC,112,9,45,24,1
LA Clippers,2025-04-19T00:00:00,LAC @ DEN,110,12,44,25,6
Detroit Pistons,2025-04-19T00:00:00,DET @ NYK,112,15,37,23,9
Milwaukee Bucks,2025-04-19T00:00:00,MIL @ IND,98,9,41,15,3
Los Angeles Lakers,2025-04-19T00:00:00,LAL vs. MIN,95,15,38,15,4
Memphis Grizzlies,2025-04-18T00:00:00,MEM vs. DAL,120,13,50,30,4
Miami Heat,2025-04-18T00:00:00,MIA @ ATL,123,16,54,33,8
Atlanta Hawks,2025-04-18T00:00:00,ATL vs. MIA,114,16,44,30,3
Dallas Mavericks,2025-04-18T00:00:00,DAL @ MEM,106,12,36,25,8
Miami Heat,2025-04-16T00:00:00,MIA @ CHI,109,13,45,30,7
Dallas Mavericks,2025-04-16T00:00:00,DAL @ SAC,120,14,41,29,8
Sacramento Kings,2025-04-16T00:00:00,SAC vs. DAL,106,13,44,23,4
Chicago Bulls,2025-04-16T00:00:00,CHI vs. MIA,90,10,38,15,4
Orlando Magic,2025-04-15T00:00:00,ORL vs. ATL,120,11,54,29,9
Golden State Warriors,2025-04-15T00:00:00,GSW vs. MEM,121,15,39,29,3
Memphis Grizzlies,2025-04-15T00:00:00,MEM @ GSW,116,12,50,22,1
Atlanta Hawks,2025-04-15T00:00:00,ATL @ ORL,95,4,42,22,5
Memphis Grizzlies,2025-04-13T00:00:00,MEM vs. DAL,132,15,53,31,7
Portland Trail Blazers,2025-04-13T00:00:00,POR vs. LAL,109,15,56,27,6
Chicago Bulls,2025-04-13T00:00:00,CHI @ PHI,122,13,59,29,4
Denver Nuggets,2025-04-13T00:00:00,DEN @ HOU,126,10,47,28,6
Oklahoma City Thunder,2025-04-13T00:00:00,OKC @ NOP,115,9,54,16,4
Atlanta Hawks,2025-04-13T00:00:00,ATL vs. ORL,117,17,44,32,2
Minnesota Timberwolves,2025-04-13T00:00:00,MIN vs. UTA,116,13,54,23,9
Sacramento Kings,2025-04-13T00:00:00,SAC vs. PHX,109,14,43,31,4
Indiana Pacers,2025-04-13T00:00:00,IND @ CLE,126,10,61,27,10
New York Knicks,2025-04-13T00:00:00,NYK @ BKN,113,16,40,27,3
Milwaukee Bucks,2025-04-13T00:00:00,MIL vs. DET,140,23,38,30,7
San Antonio Spurs,2025-04-13T00:00:00,SAS vs. TOR,125,11,50,22,2
Boston Celtics,2025-04-13T00:00:00,BOS vs. CHA,93,14,49,22,6
LA Clippers,2025-04-13T00:00:00,LAC @ GSW,124,14,42,28,3
Washington Wizards,2025-04-13T00:00:00,WAS @ MIA,119,16,43,33,3
Miami Heat,2025-04-13T00:00:00,MIA vs. WAS,118,10,46,28,6
Golden State Warriors,2025-04-13T00:00:00,GSW vs. LAC,119,15,25,31,6
Detroit Pistons,2025-04-13T00:00:00,DET @ MIL,133,22,42,35,3
Toronto Raptors,2025-04-13T00:00:00,TOR @ SAS,118,14,42,32,1
Charlotte Hornets,2025-04-13T00:00:00,CHA @ BOS,86,11,51,23,4
Cleveland Cavaliers,2025-04-13T00:00:00,CLE vs. IND,118,18,65,21,9
Brooklyn Nets,2025-04-13T00:00:00,BKN vs. NYK,105,12,42,21,2
Utah Jazz,2025-04-13T00:00:00,UTA @ MIN,105,16,40,24,5
Phoenix Suns,2025-04-13T00:00:00,PHX @ SAC,98,15,37,28,1
Orlando Magic,2025-04-13T00:00:00,ORL @ ATL,105,15,43,25,5
Houston Rockets,2025-04-13T00:00:00,HOU vs. DEN,111,12,45,32,4
New Orleans Pelicans,2025-04-13T00:00:00,NOP vs. OKC,100,7,47,22,4
Philadelphia 76ers,2025-04-13T00:00:00,PHI vs. CHI,102,12,48,20,6
Los Angeles Lakers,2025-04-13T00:00:00,LAL @ POR,81,9,42,21,11
Dallas Mavericks,2025-04-13T00:00:00,DAL @ MEM,97,5,38,20,3
Miami Heat,2025-04-11T00:00:00,MIA @ NOP,153,20,60,36,5
Boston Celtics,2025-04-11T00:00:00,BOS vs. CHA,130,23,52,35,8
Oklahoma City Thunder,2025-04-11T00:00:00,OKC @ UTA,145,24,47,41,4
Los Angeles Lakers,2025-04-11T00:00:00,LAL vs. HOU,140,19,42,28,1
Chicago Bulls,2025-04-11T00:00:00,CHI vs. WAS,119,13,54,32,7
Minnesota Timberwolves,2025-04-11T00:00:00,MIN vs. BKN,117,11,48,27,5
Dallas Mavericks,2025-04-11T00:00:00,DAL vs. TOR,124,15,56,34,10
Phoenix Suns,2025-04-11T00:00:00,PHX vs. SAS,117,19,52,27,10
Golden State Warriors,2025-04-11T00:00:00,GSW @ POR,103,14,45,26,7
Orlando Magic,2025-04-11T00:00:00,ORL @ IND,129,13,35,32,11
Atlanta Hawks,2025-04-11T00:00:00,ATL @ PHI,124,16,53,28,5
Denver Nuggets,2025-04-11T00:00:00,DEN vs. MEM,117,5,52,32,2
Milwaukee Bucks,2025-04-11T00:00:00,MIL @ DET,125,17,44,30,8
Cleveland Cavaliers,2025-04-11T00:00:00,CLE @ NYK,108,11,49,23,2
LA Clippers,2025-04-11T00:00:00,LAC @ SAC,101,7,37,19,2
Sacramento Kings,2025-04-11T00:00:00,SAC vs. LAC,100,10,43,23,1
Detroit Pistons,2025-04-11T00:00:00,DET vs. MIL,119,18,42,30,9
New York Knicks,2025-04-11T00:00:00,NYK vs. CLE,102,16,35,22,2
Memphis Grizzlies,2025-04-11T00:00:00,MEM @ DEN,109,14,41,26,5
Indiana Pacers,2025-04-11T00:00:00,IND vs. ORL,115,12,44,24,7
Philadelphia 76ers,2025-04-11T00:00:00,PHI vs. ATL,110,12,45,29,6
Portland Trail Blazers,2025-04-11T00:00:00,POR vs. GSW,86,6,52,21,5
San Antonio Spurs,2025-04-11T00:00:00,SAS @ PHX,98,13,40,28,2
Toronto Raptors,2025-04-11T00:00:00,TOR @ DAL,102,11,43,22,4
Brooklyn Nets,2025-04-11T00:00:00,BKN @ MIN,91,12,41,24,1
Washington Wizards,2025-04-11T00:00:00,WAS @ CHI,89,10,41,26,5
Houston Rockets,2025-04-11T00:00:00,HOU @ LAL,109,18,37,22,5
Utah Jazz,2025-04-11T00:00:00,UTA vs. OKC,111,17,57,23,3
Charlotte Hornets,2025-04-11T00:00:00,CHA @ BOS,94,15,48,25,4
New Orleans Pelicans,2025-04-11T00:00:00,NOP vs. MIA,104,14,42,27,2
Milwaukee Bucks,2025-04-10T00:00:00,MIL vs. NOP,136,18,43,27,4
Atlanta Hawks,2025-04-10T00:00:00,ATL @ BKN,133,15,51,36,1
Minnesota Timberwolves,2025-04-10T00:00:00,MIN @ MEM,141,20,41,29,3
Detroit Pistons,2025-04-10T00:00:00,DET vs. NYK,115,8,35,20,6
Indiana Pacers,2025-04-10T00:00:00,IND vs. CLE,114,14,46,28,11
Cleveland Cavaliers,2025-04-10T00:00:00,CLE @ IND,112,17,50,24,3
New York Knicks,2025-04-10T00:00:00,NYK @ DET,106,11,34,32,6
Memphis Grizzlies,2025-04-10T00:00:00,MEM vs. MIN,125,18,33,26,2
Brooklyn Nets,2025-04-10T00:00:00,BKN vs. ATL,109,22,41,31,2
New Orleans Pelicans,2025-04-10T00:00:00,NOP @ MIL,111,15,53,28,0
Toronto Raptors,2025-04-09T00:00:00,TOR vs. CHA,126,19,55,37,2
Orlando Magic,2025-04-09T00:00:00,ORL vs. BOS,96,16,49,23,3
Philadelphia 76ers,2025-04-09T00:00:00,PHI @ WAS,122,16,55,20,8
LA Clippers,2025-04-09T00:00:00,LAC vs. HOU,134,19,43,33,3
Los Angeles Lakers,2025-04-09T00:00:00,LAL @ DAL,112,12,39,22,0
Oklahoma City Thunder,2025-04-09T00:00:00,OKC @ PHX,125,12,44,24,2
Denver Nuggets,2025-04-09T00:00:00,DEN @ SAC,124,13,45,30,5
Chicago Bulls,2025-04-09T00:00:00,CHI vs. MIA,119,14,46,33,7
Utah Jazz,2025-04-09T00:00:00,UTA vs. POR,133,15,56,27,4
San Antonio Spurs,2025-04-09T00:00:00,SAS @ GSW,114,18,43,23,5
Golden State Warriors,2025-04-09T00:00:00,GSW vs. SAS,111,16,45,29,2
Portland Trail Blazers,2025-04-09T00:00:00,POR @ UTA,126,11,43,27,5
Sacramento Kings,2025-04-09T00:00:00,SAC vs. DEN,116,16,40,25,5
Miami Heat,2025-04-09T00:00:00,MIA @ CHI,111,12,39,28,3
Phoenix Suns,2025-04-09T00:00:00,PHX vs. OKC,112,15,38,31,3
Dallas Mavericks,2025-04-09T00:00:00,DAL vs. LAL,97,9,38,30,6
Houston Rockets,2025-04-09T00:00:00,HOU @ LAC,117,20,36,24,4
Washington Wizards,2025-04-09T00:00:00,WAS vs. PHI,103,10,47,22,2
Boston Celtics,2025-04-09T00:00:00,BOS @ ORL,76,7,43,20,5
Charlotte Hornets,2025-04-09T00:00:00,CHA @ TOR,96,11,41,23,3
Golden State Warriors,2025-04-08T00:00:00,GSW @ PHX,133,15,57,31,3
Memphis Grizzlies,2025-04-08T00:00:00,MEM @ CHA,124,18,52,23,3
Cleveland Cavaliers,2025-04-08T00:00:00,CLE vs. CHI,135,25,45,35,3
Oklahoma City Thunder,2025-04-08T00:00:00,OKC vs. LAL,136,18,44,26,5
Orlando Magic,2025-04-08T00:00:00,ORL vs. ATL,119,14,43,23,6
Milwaukee Bucks,2025-04-08T00:00:00,MIL vs. MIN,110,12,43,27,2
Indiana Pacers,2025-04-08T00:00:00,IND vs. WAS,104,9,49,21,5
LA Clippers,2025-04-08T00:00:00,LAC vs. SAS,122,14,50,30,0
Brooklyn Nets,2025-04-08T00:00:00,BKN vs. NOP,119,17,40,30,4
Boston Celtics,2025-04-08T00:00:00,BOS @ NYK,119,19,38,26,4
New York Knicks,2025-04-08T00:00:00,NYK vs. BOS,117,11,52,28,6
San Antonio Spurs,2025-04-08T00:00:00,SAS @ LAC,117,17,34,29,4
New Orleans Pelicans,2025-04-08T00:00:00,NOP @ BKN,114,12,42,26,6
Washington Wizards,2025-04-08T00:00:00,WAS @ IND,98,11,50,18,8
Atlanta Hawks,2025-04-08T00:00:00,ATL @ ORL,112,14,41,25,6
Minnesota Timberwolves,2025-04-08T00:00:00,MIN @ MIL,103,13,42,25,3
Los Angeles Lakers,2025-04-08T00:00:00,LAL @ OKC,120,18,45,21,6
Chicago Bulls,2025-04-08T00:00:00,CHI @ CLE,113,15,45,26,3
Charlotte Hornets,2025-04-08T00:00:00,CHA vs. MEM,100,11,38,22,4
Phoenix Suns,2025-04-08T00:00:00,PHX vs. GSW,95,12,41,22,4
Miami Heat,2025-04-07T00:00:00,MIA vs. PHI,117,16,47,26,6
Sacramento Kings,2025-04-07T00:00:00,SAC @ DET,127,11,50,20,4
Detroit Pistons,2025-04-07T00:00:00,DET vs. SAC,117,13,37,30,4
Philadelphia 76ers,2025-04-07T00:00:00,PHI @ MIA,105,12,45,20,4
Boston Celtics,2025-04-06T00:00:00,BOS vs. WAS,124,24,62,33,5
Los Angeles Lakers,2025-04-06T00:00:00,LAL @ OKC,126,22,43,25,2
Chicago Bulls,2025-04-06T00:00:00,CHI @ CHA,131,16,41,26,1
New York Knicks,2025-04-06T00:00:00,NYK vs. PHX,112,12,41,28,3
Atlanta Hawks,2025-04-06T00:00:00,ATL vs. UTA,147,22,42,43,3
Portland Trail Blazers,2025-04-06T00:00:00,POR vs. SAS,120,15,44,25,5
Toronto Raptors,2025-04-06T00:00:00,TOR @ BKN,120,12,47,30,4
Houston Rockets,2025-04-06T00:00:00,HOU @ GSW,106,10,49,26,7
Sacramento Kings,2025-04-06T00:00:00,SAC @ CLE,120,14,39,25,3
Indiana Pacers,2025-04-06T00:00:00,IND @ DEN,125,15,41,34,7
Milwaukee Bucks,2025-04-06T00:00:00,MIL @ NOP,111,11,51,29,4
New Orleans Pelicans,2025-04-06T00:00:00,NOP vs. MIL,107,12,48,31,6
Denver Nuggets,2025-04-06T00:00:00,DEN vs. IND,120,8,47,33,7
Cleveland Cavaliers,2025-04-06T00:00:00,CLE vs. SAC,113,10,39,31,5
Golden State Warriors,2025-04-06T00:00:00,GSW vs. HOU,96,16,46,28,2
Brooklyn Nets,2025-04-06T00:00:00,BKN vs. TOR,109,10,46,25,7
San Antonio Spurs,2025-04-06T00:00:00,SAS @ POR,109,11,45,26,4
Utah Jazz,2025-04-06T00:00:00,UTA @ ATL,134,20,32,29,4
Charlotte Hornets,2025-04-06T00:00:00,CHA vs. CHI,117,8,40,25,2
Phoenix Suns,2025-04-06T00:00:00,PHX @ NYK,98,4,35,20,3
Oklahoma City Thunder,2025-04-06T00:00:00,OKC vs. LAL,99,12,34,20,3
Washington Wizards,2025-04-06T00:00:00,WAS @ BOS,90,12,32,21,3
LA Clippers,2025-04-05T00:00:00,LAC vs. DAL,135,11,45,31,3
New York Knicks,2025-04-05T00:00:00,NYK @ ATL,121,15,38,32,5
Milwaukee Bucks,2025-04-05T00:00:00,MIL @ MIA,121,8,47,29,3
Memphis Grizzlies,2025-04-05T00:00:00,MEM @ DET,109,9,64,19,3
Minnesota Timberwolves,2025-04-05T00:00:00,MIN @ PHI,114,11,47,22,7
Philadelphia 76ers,2025-04-05T00:00:00,PHI vs. MIN,109,12,34,26,4
Miami Heat,2025-04-05T00:00:00,MIA vs. MIL,115,15,52,24,1
Detroit Pistons,2025-04-05T00:00:00,DET vs. MEM,103,11,44,24,6
Atlanta Hawks,2025-04-05T00:00:00,ATL vs. NYK,105,14,38,24,7
Dallas Mavericks,2025-04-05T00:00:00,DAL @ LAC,104,7,41,18,8
Indiana Pacers,2025-04-04T00:00:00,IND vs. UTA,140,12,51,38,17
Sacramento Kings,2025-04-04T00:00:00,SAC @ CHA,125,16,44,26,3
LA Clippers,2025-04-04T00:00:00,LAC vs. DAL,114,14,48,23,4
Boston Celtics,2025-04-04T00:00:00,BOS vs. PHX,123,14,49,28,4
Los Angeles Lakers,2025-04-04T00:00:00,LAL vs. NOP,124,16,36,26,2
Houston Rockets,2025-04-04T00:00:00,HOU vs. OKC,125,13,48,24,5
Golden State Warriors,2025-04-04T00:00:00,GSW vs. DEN,118,16,36,25,2
Detroit Pistons,2025-04-04T00:00:00,DET @ TOR,117,12,47,27,7
